model,layer,pos,var,mode,rank,train_acc,base_acc,base_yes,all,disagree,same_dim_swap,heldout_lex,invented_alg,other_labels(y_heur),all_alpha0.25,all_alpha0.5,all_alpha0.75,other_labels(y_alg)
qwen3-4b-base,16,u1,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.504,0.493,0.507,0.505,0.504,0.513,0.5,0.501,0.505,
qwen3-4b-base,16,u1,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.513,0.507,0.521,0.511,0.504,,0.509,0.512,0.514,0.504
qwen3-4b-base,16,u2,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.515,0.278,0.324,0.546,0.492,0.629,0.503,0.502,0.503,
qwen3-4b-base,16,u2,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.629,0.722,0.546,0.657,0.492,,0.532,0.587,0.616,0.515
qwen3-4b-base,20,last,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.505,0.43,0.452,0.515,0.493,0.541,0.506,0.502,0.502,
qwen3-4b-base,20,last,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.541,0.57,0.528,0.528,0.493,,0.515,0.527,0.528,0.505
qwen3-4b-base,20,u1,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.494,0.493,0.479,0.499,0.505,0.499,0.498,0.503,0.499,
qwen3-4b-base,20,u1,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.499,0.507,0.502,0.5,0.505,,0.507,0.508,0.503,0.494
qwen3-4b-base,20,u2,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.501,0.416,0.47,0.506,0.497,0.545,0.504,0.502,0.506,
qwen3-4b-base,20,u2,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.545,0.584,0.543,0.539,0.497,,0.517,0.523,0.54,0.501
qwen3-4b-base,24,last,alg,learned,16,0.4875,0.6883333333333334,0.23166666666666666,0.514,0.304,0.394,0.542,0.511,0.587,0.492,0.499,0.505,
qwen3-4b-base,24,last,alg,random,16,,0.6883333333333334,0.23166666666666666,0.5,0.506,0.503,0.502,0.496,0.5,0.503,0.497,0.501,
qwen3-4b-base,24,last,heur,learned,16,0.703125,0.6883333333333334,0.23166666666666666,0.61,0.764,0.557,0.625,0.509,,0.523,0.56,0.576,0.496
qwen3-4b-base,24,last,alg,learned,64,0.5,0.6883333333333334,0.23166666666666666,0.501,0.367,0.405,0.514,0.512,0.559,0.5,0.497,0.506,
qwen3-4b-base,24,last,alg,random,64,,0.6883333333333334,0.23166666666666666,0.499,0.491,0.497,0.505,0.499,0.508,0.502,0.505,0.5,
qwen3-4b-base,24,last,heur,learned,64,0.73125,0.6883333333333334,0.23166666666666666,0.631,0.781,0.562,0.636,0.51,,0.541,0.569,0.606,0.504
qwen3-4b-base,24,last,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.503,0.187,0.263,0.549,0.507,0.643,0.508,0.5,0.511,
qwen3-4b-base,24,last,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.643,0.813,0.591,0.671,0.507,,0.56,0.613,0.636,0.503
qwen3-4b-base,24,u1,alg,learned,16,0.503125,0.6883333333333334,0.23166666666666666,0.502,0.493,0.497,0.505,0.504,0.506,0.498,0.502,0.502,
qwen3-4b-base,24,u1,alg,random,16,,0.6883333333333334,0.23166666666666666,0.503,0.495,0.497,0.507,0.506,0.505,0.501,0.498,0.498,
qwen3-4b-base,24,u1,heur,learned,16,0.715625,0.6883333333333334,0.23166666666666666,0.502,0.509,0.509,0.505,0.505,,0.503,0.505,0.506,0.494
qwen3-4b-base,24,u1,alg,learned,64,0.49375,0.6883333333333334,0.23166666666666666,0.5,0.491,0.507,0.502,0.504,0.504,0.499,0.497,0.502,
qwen3-4b-base,24,u1,alg,random,64,,0.6883333333333334,0.23166666666666666,0.495,0.502,0.497,0.502,0.502,0.499,0.502,0.496,0.501,
qwen3-4b-base,24,u1,heur,learned,64,0.709375,0.6883333333333334,0.23166666666666666,0.505,0.498,0.501,0.507,0.503,,0.509,0.508,0.504,0.5
qwen3-4b-base,24,u1,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.501,0.504,0.491,0.51,0.5,0.508,0.495,0.499,0.497,
qwen3-4b-base,24,u1,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.508,0.496,0.505,0.511,0.5,,0.499,0.5,0.501,0.501
qwen3-4b-base,24,u2,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.502,0.506,0.513,0.499,0.502,0.501,0.497,0.502,0.499,
qwen3-4b-base,24,u2,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.501,0.494,0.501,0.498,0.502,,0.5,0.506,0.51,0.502
qwen3-4b-base,28,last,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.5,0.206,0.272,0.537,0.511,0.636,0.503,0.496,0.51,
qwen3-4b-base,28,last,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.636,0.794,0.572,0.661,0.511,,0.552,0.601,0.638,0.5
qwen3-4b-base,28,u1,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.504,0.506,0.513,0.513,0.498,0.506,0.5,0.498,0.501,
qwen3-4b-base,28,u1,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.506,0.494,0.521,0.515,0.498,,0.499,0.495,0.504,0.504
qwen3-4b-base,28,u2,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.502,0.478,0.506,0.51,0.502,0.513,0.499,0.498,0.505,
qwen3-4b-base,28,u2,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.513,0.522,0.525,0.526,0.502,,0.503,0.504,0.509,0.502
