model,layer,pos,var,mode,rank,seed,all,disagree,heldout,invented
gemma2-9b,4,u1,alg,random,64,0,0.490625,0.4755744255744256,0.4815057385229541,0.5025
gemma2-9b,4,u1,alg,random,64,0,0.49895833333333334,0.49719887955182074,0.5,0.5
gemma2-9b,8,u1,alg,learned,64,0,0.5177083333333333,0.4374458874458874,0.506627370259481,0.505
gemma2-9b,8,u1,heur,learned,64,0,0.5098643649815043,0.5098039215686274,0.5015974440894568,0.5
gemma2-9b,4,u1,heur,learned,64,0,0.5099347065103154,0.47694462400344756,0.5111821086261981,0.5
gemma2-9b,8,u1,alg,random,64,0,0.49895833333333334,0.49859943977591037,0.5,0.5
gemma2-9b,8,u1,alg,random,64,0,0.5,0.5028471528471529,0.49335703592814373,0.4925
gemma2-9b,4,u1,alg,learned,64,0,0.5166666666666667,0.4420579420579421,0.530314371257485,0.50125
gemma2-9b,8,u1,alg,learned,64,0,0.5010416666666667,0.49299719887955185,0.5050547467960682,0.5
gemma2-9b,8,u1,heur,learned,64,0,0.6336450294606807,0.6071262071262071,0.6156300723033791,0.494375
gemma2-9b,8,u1,alg,full,3584,0,0.578125,0.44585414585414584,0.553751871257485,0.506875
gemma2-9b,4,u1,heur,full,3584,0,0.693179643920699,0.5903762903762904,0.7088128965619005,0.50625
