model,task,version,condition,n,acc,ci_lo,ci_hi,chance,acc_length_matched,n_length_matched,acc_gen,acc_gen_dim,gen_parsed,acc_gen_dim|parsed,acc_inorder,acc_swapped,swap_penalty,swapped_ci_lo,swapped_ci_hi
qwen3-14b-base,T1,v1,INV-BASE-TWIN,240,0.9291666666666667,0.8702252509466851,0.9861158675799087,0.25,0.9624413145539906,213,0.675,0.7708333333333334,0.8958333333333334,0.8604651162790697,0.952755905511811,0.9026548672566371,0.05010103825517387,0.8015476190476191,1.0
qwen3-14b-base,T1,v1,INV-LEX,240,0.9375,0.8754860142427134,0.9830508474576272,0.25,0.96,200,0.375,0.6416666666666667,0.8416666666666667,0.7623762376237624,0.9696969696969697,0.8981481481481481,0.07154882154882158,0.7804710226001342,0.989010989010989
qwen3-14b-base,T1,v1,INV-LEX-TWIN,240,0.9166666666666666,0.856480927698033,0.9655172413793104,0.25,0.9567307692307693,208,0.45416666666666666,0.6833333333333333,0.825,0.8282828282828283,0.9166666666666666,0.9166666666666666,0.0,0.822404873164219,0.9824599542334095
qwen3-4b-base,T1,v1,ARITH-FAM,240,0.7958333333333333,0.6451547070441079,0.9249036561264822,0.25,0.8177570093457944,214,0.26666666666666666,0.5958333333333333,0.925,0.6441441441441441,0.7958333333333333,,,,
qwen3-4b-base,T1,v1,ARITH-INV,240,0.8458333333333333,0.741781103286385,0.9325396825396826,0.25,0.88268156424581,179,0.25416666666666665,0.6291666666666667,0.9,0.6990740740740741,0.8458333333333333,,,,
qwen3-4b-base,T1,v1,ARITH-INV-NODEF,240,0.7333333333333333,0.662912100614972,0.8041711956521739,0.25,0.7586206896551724,174,0.09583333333333334,0.19583333333333333,0.6791666666666667,0.2883435582822086,0.7333333333333333,,,,
qwen3-4b-base,T1,v1,ARITH-INV-NODEF-TWIN,240,0.7375,0.5861884762746832,0.8649870834409713,0.25,0.7927461139896373,193,0.30416666666666664,0.5833333333333334,0.8916666666666667,0.6542056074766355,0.7375,,,,
qwen3-4b-base,T1,v1,ARITH-INV-TWIN,240,0.8,0.6639004149377593,0.9115469348659003,0.25,0.8648648648648649,185,0.32916666666666666,0.5708333333333333,0.9125,0.6255707762557078,0.8,,,,
qwen3-4b-base,T1,v1,FAM-NAMED,240,0.9958333333333333,0.9812206572769953,1.0,0.25,0.9953271028037384,214,0.4875,0.7791666666666667,0.9916666666666667,0.7857142857142857,1.0,0.9894736842105263,0.010526315789473717,0.9514444127165429,1.0
qwen3-4b-base,T1,v1,FAM-UNNAMED,240,0.8583333333333333,0.774874319229158,0.9339265966896901,0.25,0.9029126213592233,206,0.2708333333333333,0.30416666666666664,0.49166666666666664,0.6186440677966102,0.9032258064516129,0.8103448275862069,0.09288097886540603,0.6817895339954163,0.9354942100909842
qwen3-4b-base,T1,v1,INV-BASE,240,0.9416666666666667,0.8674698795180723,1.0,0.25,0.9847715736040609,197,0.5125,0.65,0.7458333333333333,0.8715083798882681,0.937007874015748,0.9469026548672567,-0.009894780851508633,0.8392857142857143,1.0
qwen3-4b-base,T1,v1,INV-BASE-TWIN,240,0.8666666666666667,0.7647058823529411,0.9638058823529412,0.25,0.8967136150234741,213,0.575,0.7333333333333333,0.8958333333333334,0.8186046511627907,0.9133858267716536,0.8141592920353983,0.09922653473625531,0.6269345238095239,1.0
qwen3-4b-base,T1,v1,INV-LEX,240,0.925,0.8614204871647667,0.9745842493440181,0.25,0.96,200,0.25416666666666665,0.44583333333333336,0.75,0.5944444444444444,0.9393939393939394,0.9074074074074074,0.03198653198653201,0.7867557824100514,0.9921999999999989
qwen3-4b-base,T1,v1,INV-LEX-TWIN,240,0.9083333333333333,0.8445309271249484,0.960318334382211,0.25,0.9423076923076923,208,0.36666666666666664,0.575,0.8166666666666667,0.7040816326530612,0.9015151515151515,0.9166666666666666,-0.015151515151515138,0.8404054596547572,0.9807738095238094
qwen3-8b-base,T1,v1,ARITH-FAM,240,0.825,0.6731314678367415,0.9531943869525623,0.25,0.8457943925233645,214,0.3458333333333333,0.6041666666666666,0.9208333333333333,0.6561085972850679,0.825,,,,
qwen3-8b-base,T1,v1,ARITH-INV,240,0.8416666666666667,0.6827807711883742,0.9537911414565826,0.25,0.9162011173184358,179,0.14583333333333334,0.425,0.7083333333333334,0.6,0.8416666666666667,,,,
qwen3-8b-base,T1,v1,ARITH-INV-NODEF,240,0.7541666666666667,0.663997510373444,0.84348183932725,0.25,0.7931034482758621,174,0.12916666666666668,0.32083333333333336,0.65,0.4935897435897436,0.7541666666666667,,,,
qwen3-8b-base,T1,v1,ARITH-INV-NODEF-TWIN,240,0.7958333333333333,0.6755699985597003,0.9040041666666667,0.25,0.8601036269430051,193,0.3458333333333333,0.5583333333333333,0.9291666666666667,0.600896860986547,0.7958333333333333,,,,
qwen3-8b-base,T1,v1,ARITH-INV-TWIN,240,0.8291666666666667,0.7136563778023225,0.9320994777628031,0.25,0.9027027027027027,185,0.4,0.6208333333333333,0.925,0.6711711711711712,0.8291666666666667,,,,
qwen3-8b-base,T1,v1,FAM-NAMED,240,1.0,1.0,1.0,0.25,1.0,214,0.5291666666666667,0.7583333333333333,0.9833333333333333,0.7711864406779662,1.0,1.0,0.0,1.0,1.0
qwen3-8b-base,T1,v1,FAM-UNNAMED,240,0.8208333333333333,0.7159861788617886,0.9145390070921985,0.25,0.8689320388349514,206,0.3,0.42916666666666664,0.7416666666666667,0.5786516853932584,0.8548387096774194,0.7844827586206896,0.07035595105672976,0.6347712524334848,0.9230769230769231
qwen3-8b-base,T1,v1,INV-BASE,240,0.9041666666666667,0.7886050412548735,0.9954550596462362,0.25,0.9441624365482234,197,0.4791666666666667,0.5041666666666667,0.6166666666666667,0.8175675675675675,0.889763779527559,0.9203539823008849,-0.030590202773325914,0.8079834862385321,1.0
qwen3-8b-base,T1,v1,INV-BASE-TWIN,240,0.9333333333333333,0.8677685950413223,0.9883954110185299,0.25,0.9671361502347418,213,0.5708333333333333,0.7416666666666667,0.7916666666666666,0.9368421052631579,0.952755905511811,0.911504424778761,0.04125148073304996,0.7999596774193549,1.0
qwen3-8b-base,T1,v1,INV-LEX,240,0.9458333333333333,0.8820960698689956,0.9908686176836862,0.25,0.98,200,0.25,0.4166666666666667,0.6791666666666667,0.6134969325153374,0.9621212121212122,0.9259259259259259,0.036195286195286225,0.8033333333333333,1.0
qwen3-8b-base,T1,v1,INV-LEX-TWIN,240,0.9166666666666666,0.8538636116547076,0.9659658140090843,0.25,0.9423076923076923,208,0.44583333333333336,0.6166666666666667,0.8791666666666667,0.7014218009478673,0.8939393939393939,0.9444444444444444,-0.0505050505050505,0.8849472430224643,0.9903869047619048
